,num_tokens,num_chars,longest_message_toks,shortest_message_toks,longest_message_chars,shortest_message_chars
116749334,2468,9660,36,1,130,0
1167977252,946893,4313167,72,1,345,0
1168354500,35950,151372,56,1,206,0
116861065,3206,14861,36,1,174,0
116861380,9287,39466,45,1,146,0
116865771,53249,232977,90,1,421,0
1168883882,689857,2992642,121,1,482,0
1169232808,31061,130845,52,1,228,0
116953691,113252,507377,83,1,456,0
1169829948,1,0,1,1,0,0
1169829951,670338,2847728,130,1,308,0
1170107668,28419,118419,57,1,230,0
1170752412,1,0,1,1,0,0
1170752413,717388,3298196,96,1,320,0
117091407,53339,235578,150,1,422,0
1171261658,30885,131428,49,1,205,0
1171754337,545283,2490387,79,1,441,0
117188868,67555,292438,54,1,195,0
1172014020,25338,107518,60,1,243,0
117269159,3838,16319,25,1,98,0
117287259,7356,30283,70,1,139,0
117320058,42487,193500,100,1,420,0
117329492,1975,7378,30,1,112,0
1173627535,1495671,5909444,125,1,400,0
1173964968,56382,235672,63,1,260,0
1174539221,1303946,5287940,108,1,380,0
117461500,129484,575279,54,1,198,0
1174929887,44334,186400,61,1,290,0
1175455496,1186852,4961805,110,1,412,0
117557678,17126,73222,168,1,411,0
1175834006,40331,167547,68,1,306,0
11765920,1,0,1,1,0,0
117705495,1,0,1,1,0,0
117705515,155439,709439,64,1,200,0
1177263481,1670191,6933071,108,1,421,0
1177650667,82914,339093,60,1,232,0
117811219,3164,12336,40,1,120,0
1178233415,843602,3462577,114,1,360,0
1178542991,43332,179564,61,1,264,0
1179202435,1171721,6093382,99,1,396,0
1179566831,41231,171702,60,1,227,0
117957749,214494,909297,51,1,175,0
1180090169,1,0,1,1,0,0
1180090170,2459735,8483544,172,1,432,0
1180508576,46010,191189,73,1,240,0
118226694,145772,603574,50,1,171,0
118351789,2361,9178,47,1,161,0
1183655055,468484,2158296,81,1,340,0
1183820020,37458,154769,60,1,211,0
11846206,1,0,1,1,0,0
1184637599,550920,2439900,86,1,400,0
1184869576,31974,134237,56,1,238,0
118555916,56236,257153,104,1,433,0
1185610480,808843,2697630,132,1,366,0
1185788121,30376,124351,78,1,248,0
118593785,8605,35473,63,1,244,0
1186484400,1,0,1,1,0,0
1186484401,579187,2252082,110,1,350,0
1186641539,33331,134621,68,1,236,0
118783580,14,47,8,6,25,0
118783878,37917,165468,74,1,288,0
118793486,2936,11879,38,1,162,0
118960031,8212,33384,44,1,132,0
119009493,53979,236219,114,1,287,0
119009878,1288,5031,39,1,171,0
119102929,96617,446503,66,1,224,0
1191071312,1147858,4789070,91,1,340,0
1191348534,37363,157624,52,1,206,0
119146011,167436,740619,66,1,184,0
1191999236,561465,2413252,115,1,336,0
1192286277,21768,93851,64,1,343,0
119233261,4,16,4,4,16,0
119233548,8120,35248,49,1,207,0
119378177,148519,666256,58,1,180,0
119478567,511,2006,35,1,126,0
119590855,61072,278371,43,1,220,0
119637472,120338,517728,42,1,168,0
1197592207,1183548,5886618,125,1,484,0
1197898683,17174,64631,30,1,142,0
119863718,123413,562888,66,1,225,0
119904080,56503,242391,47,1,172,0
120027793,589,2370,28,1,162,0
12011789,1,0,1,1,0,0
120232018,52111,232599,188,1,408,0
120267365,12677,54457,45,1,156,0
120320898,58725,262046,44,1,181,0
1204181195,85633,356562,51,1,205,0
120454620,51169,230277,126,1,363,0
120455014,1151,4276,45,1,135,0
1205182681,56046,238852,55,1,199,0
120547122,4287,18257,42,1,151,0
120549745,1367,6382,28,1,93,0
120550540,68250,293031,222,1,222,0
1206107146,35859,153280,50,1,240,0
120633977,14005,57035,37,1,147,0
120679679,9,41,6,3,25,0
120679823,24645,108815,81,1,361,0
120683698,781,3011,32,1,118,0
1207017823,12762,58537,54,1,200,0
1207194014,39719,187864,55,1,240,0
120773564,143078,662068,88,1,248,0
120775581,9561,39142,61,1,241,0
1207933416,2666,21349,36,1,225,0
120819610,145913,646652,85,1,186,0
120916717,70,274,24,1,73,0
120917665,9137,38783,41,1,240,0
1209756018,4067,31724,28,1,266,0
121019751,40882,175304,76,1,280,0
121064813,157047,723033,59,1,180,0
1210756863,13950,107995,39,1,300,0
1210792587,448,3300,14,1,99,0
1211185396,255733,1065646,60,1,418,0
121168367,720,3001,36,1,193,0
1211802861,13156,98746,36,1,221,0
121237587,29089,124034,53,1,273,0
121272710,78452,350683,53,1,200,0
121323927,100987,442296,60,1,166,0
121510052,23859,101396,56,1,203,0
121543347,100926,448289,88,1,209,0
121581933,40634,181986,44,1,160,0
12161970,1,0,1,1,0,0
121714466,735,2686,20,1,70,0
1217202862,1988,8768,63,1,247,0
121921475,47380,214358,128,1,368,0
121957041,5265,21777,39,1,163,0
122012033,129019,590076,65,1,280,0
12205603,1,0,1,1,0,0
12205771,1,0,1,1,0,0
122139554,22189,96592,190,1,274,0
122143767,479,1922,21,1,103,0
122223463,63411,288989,50,1,200,0
1222312500,6243,40208,57,1,320,0
122305342,6235,24907,37,1,124,0
122353644,10506,43768,67,1,272,0
122358554,246,999,22,1,156,0
1223657532,1230,5972,31,1,128,0
122443010,73519,332751,57,1,212,0
122444792,1,0,1,1,0,0
122444967,10574,44027,61,1,242,0
122488160,149456,678893,54,1,180,0
122573733,7227,31273,48,1,223,0
122668356,23998,100820,81,1,292,0
12268739,1,0,1,1,0,0
122713332,108462,507684,48,1,180,0
122814767,206,891,24,1,123,0
122882114,21789,93706,69,1,290,0
122914403,54916,255276,71,1,180,0
122961488,105260,471502,48,1,195,0
1230453627,4983,22714,36,1,132,0
1230556190,5303,43707,32,1,261,0
123144895,26150,109816,61,1,257,0
1231585096,5614,44809,30,1,255,0
123177628,47140,209242,49,1,186,0
123216379,40605,175136,54,1,182,0
12328673,1,0,1,1,0,0
123343250,122,530,10,1,51,0
12339936,1,0,1,1,0,0
12348123,1,0,1,1,0,0
123514643,814,3278,31,1,122,0
123608572,5887,24726,45,1,146,0
1236715007,2257,9982,30,1,118,0
123907614,348247,1537620,56,1,210,0
124022345,31994,132022,61,1,205,0
124198013,96766,402457,53,1,208,0
1243851304,1909,8302,33,1,122,0
124602469,6168,26433,44,1,193,0
124626494,256342,1136674,54,1,222,0
124718472,18477,75647,35,1,152,0
124731901,53,188,18,1,53,0
124732402,15338,72285,33,1,207,0
124776493,13112,53470,55,1,205,0
124886197,379910,1644996,100,1,406,0
124904609,10002,41318,35,1,166,0
124965771,268745,1179587,69,1,171,0
125051274,53612,210628,57,1,227,0
125246420,38001,169351,301,1,305,0
125338444,54730,238651,144,1,240,0
125357620,356,1369,27,1,103,0
125393814,1965,7933,35,1,152,0
125559535,53555,235365,56,1,197,0
1255841959,113699,1143615,40,1,437,0
125641833,1,0,1,1,0,0
125642313,5727,23754,32,1,129,0
125692614,49505,215937,53,1,330,0
125696739,5269,20451,29,1,110,0
125795396,173212,793799,56,1,225,0
125797511,3809,15390,39,1,145,0
125841892,114751,537416,54,1,173,0
1258999635,87834,392983,75,1,300,0
125930749,9616,41379,36,1,137,0
1259999098,76796,326478,89,1,323,0
126026320,34931,148626,63,1,264,0
126070902,71113,324777,47,1,164,0
1260999462,147551,675619,61,1,315,0
1261015726,34229,145764,85,1,293,0
126173675,1365,5105,35,1,152,0
1262048354,123798,563084,56,1,336,0
1262058647,29242,131539,84,1,350,0
126243612,17659,73282,52,1,201,0
126275622,40547,176755,42,1,185,0
1263039754,41631,177842,68,1,260,0
1263076170,183313,827071,54,1,390,0
126321173,75169,338131,49,1,179,0
1263291990,575742,2779815,84,1,288,0
1263325119,14883,112110,40,1,468,0
1263724774,5368,42415,38,1,323,0
1264066841,1307,10502,31,1,132,0
1264168703,69615,304306,68,1,276,0
1264212979,55204,247272,39,1,273,0
1264437833,4016,32113,30,1,216,0
1264437942,369974,1837188,80,1,360,0
1264882066,882,7088,21,1,189,0
1265165515,2899,22720,41,1,161,0
126530634,12589,53108,67,1,298,0
1265329315,93339,400115,104,1,397,0
1265382274,171603,767425,46,1,261,0
126543017,194390,857112,54,1,199,0
1265599036,1779,14070,26,1,192,0
1265599206,419154,1803273,67,1,252,0
126579790,34437,146622,43,1,176,0
1265994099,992,7562,24,1,170,0
1266236784,2023,15601,38,1,195,0
1266507381,37642,157769,80,1,256,0
126706259,1993,7681,35,1,279,0
1267586297,65135,284910,77,1,311,0
1268634853,117356,518110,45,1,259,0
1268641874,24529,107391,71,1,291,0
126908897,32824,146742,70,1,277,0
126943555,5351,21965,41,1,186,0
1269703297,100244,446107,64,1,320,0
1269713762,49207,219961,63,1,261,0
126998281,1,0,1,1,0,0
126998313,69675,312888,56,1,198,0
1270736699,49165,211829,65,1,299,0
1270774783,68605,302022,34,1,189,0
1271005488,2757,21898,26,1,210,0
1271005552,258972,1213282,55,1,256,0
127127882,1,0,1,1,0,0
